store_name,category,description
ALI ŠOKOLADINĖ,KAVINĖS/RESTORANAI,"Jau dešimtmetį kuriantis moderniosios konditerijos prekės ženklas, vertinantiems aukščiausią kokybę, estetiką ir nepriekaištingą aptarnavimą. Čia rasite viską – nuo prancūziško stiliaus tortų, desertų ir šviežių kepinių prie kokybiškos kavos puodelio iki išskirtinių dovanų pasirinkimų įvairioms progoms. „Ali šokoladinės“ vizitine kortele tapo spalvingi MACARON sausainiai, belgiško šokolado PRALINE saldainiai, rankų darbo triufeliai, dražė ir rūšinio šokolado plytelės."
APRANGA,DRABUŽIAI,"Daugiau nei dvidešimt metų džiugina pirkėjus įvairiausių prekės ženklų kolekcijomis vyrams ir moterims. Parduotuvėje visada rasite platų klasikinio ir laisvalaikio stiliaus drabužių pasirinkimą, derinių ypatingoms progoms. „Apranga“ parduotuvėje rasite tokius prekių ženklus, kaip „Tom Tailor“, „Vila“, „Opus“, „Celio“, „Jack&Jones“ bei kiti."
ARCHIE'S BURGER,DIALOGAI,"Nuo 2015 metų kepame burgerius tiems, kurie žino, ko nori iš gero maisto. Archie's Burger gimė iš meilės gatvės maistui ir įsitikinimo, kad kokybė neturi būti prabanga. Jau daugiau nei dešimtmetį deriname premium ingredientus, kruopščiai ištobulintus receptus ir laisvą street food kultūros dvasią. Be baltų staltiesių. Be nereikalingų taisyklių. Tik sąžiningas, aukščiausios kokybės street food."
ASIA VET,DIALOGAI,"Tai vietnamietiškos virtuvės kavinė, kviečianti atrasti autentiškus Pietryčių Azijos skonius. Mūsų meniu siūlome tradicinius patiekalus, tokius kaip pho sriuba, ryžių ir makaronų patiekalai bei šviežiai ruošti užkandžiai. Didelį dėmesį skiriame ingredientų šviežumui ir originaliems receptams, kad skoniai būtų kuo artimesni Vietnamui. Siekiame, kad kiekvienas apsilankymas būtų mažas kulinarinis kelionės po Vietnamą patyrimas."
BENU,VAISTINĖS OPTIKA,"BENU vaistinių tinklas - vienas didžiausių vaistinių tinklų Baltijos šalyse. BENU vaistinių tinklas - tai europietiškas vaistinių tinklas. BENU vaistinių tinklą Baltijos šalyse valdo įmonių grupė Tamro Baltics, kuri yra vienos didžiausios Europoje farmacijos produktų platintojos, PHOENIX group, dalis. Mes siūlome išskirtinę BENU vaistininkų patirtį ir jaukią aplinką, kad mūsų lankytojai jaustųsi saugūs ir ramūs. Profesionalumas prasideda nuo dėmesio! Vaistinėje klientai ras visą aktualiausių prekių asortimentą: receptiniai ir nereceptiniai vaistai, maisto papildai, medicinos priemonės bei kosmetika. Klientai taip pat gali pasinaudoti plačiu papildomų vaistinės teikiamų paslaugų spektru."
BOTTLERY,MAISTO IR GĖRIMŲ PARDUOTUVĖS?,"Specializuotoje BOTTLERY parduotuvėje platus alkoholinių gėrimų ir maisto produktų pasirinkimas. Lentynose – daugiau nei 1000 skirtingų gėrimų, atkeliavusių iš įvairiausių pasaulio šalių, taip pat ypatingų, prie šių gėrimų skonio derančių užkandžių bei stalo aksesuarų. Mūsų kompetentingas personalas padės išsirinkti ingredientus kokteiliams, patars, kokio vyno ar kito gėrimo skonis labiausiai derės prie Jūsų užkandžių ar valgių, rekomenduos puikios kokybės produktus už Jums priimtiną kainą."
CAFFEINE,KAVINĖS/RESTORANAI,"Europos prekybos centre įsikūręs „Caffeine“ išsiskiria specialiu konceptu ir platesniu nei įprasta tinklo pasiūlymu. Čia klientai gali mėgautis 100 % ekologiška kava, vietoje ruošiamais sumuštiniais, desertais bei kitais užkandžiais. Šioje kavinėje siūlomas išplėstas desertų, kepinių ir greitų užkandžių asortimentas, todėl kiekvienas ras ką pasirinkti tiek pusryčiams, tiek trumpai dienos pertraukai. Siekiame suteikti kokybišką ir patogią patirtį miesto ritmu gyvenantiems lankytojams."
CHAČAPURI,DIALOGAI,"Kviečiame Jus į mūsų kartvelų virtuvės bistro kur susitinka autentiškos tradicijos, kokybė ir nuoširdus svetingumas. Mūsų virtuvės meistrai iš Sakartvelo su dideliu atsidavimu kviečia pažinti turtingą šios šalies kulinarinį paveldą – skonius, aromatus ir istorijas, perduodamas iš kartos į kartą. Čia rasite kruopščiai pagal tradicinius receptus ruošiamus patiekalus iš šviežiausių ingredientų: nuo kvapnaus, ką tik iš krosnies ištraukto chačapurio iki sultingų chinkali ar subtiliai paruoštų baklažanų suktinukų su riešutais. Kiekvienas patiekalas – tai meilės, laiko ir meistriškumo rezultatas. Labai jūsų lauksime🧡"
CLEAN GREEN,PASLAUGOS,"Clean Green – profesionali ekologiška drabužių valykla, įsikūrusi PC Europa 3-iame aukšte. Naudojame modernią ir ekologišką valymo technologiją, todėl mūsų valymo būdas yra saugus jūsų sveikatai ir aplinkai. Išvalysime net ir sudėtingiausius drabužius bei tekstilės gaminius – nuo kasdienių rūbų iki vestuvinių suknelių, avalynės ar namų tekstilės. Kiekvienam klientui skiriame išskirtinį dėmesį, o prireikus siūlome ir express valymo bei lyginimo paslaugą per 2–24 val. Paslaugos: kasdienių ir proginių drabužių valymas, kailių, odos ir lauko drabužių valymas, avalynės ir rankinių valymas, namų tekstilės valymas, profesionalios skalbimo ir valymo paslaugos verslui."
DANGER PARK,LAISVALAIKIS IR PRAMOGOS,"„Danger park“ – pirmasis interaktyvus centras Lietuvoje, kur vaikai ir suaugusieji ne tik sužino apie pavojus, bet ir praktiškai mokosi veikti kritinėse situacijose. Čia patyrę edukatoriai supažindina tiek vaikus, tiek suaugusiuosius su įvairiomis aplinkos grėsmėmis ir moko, kaip tinkamai elgtis krizinėse situacijose. Centre jūsų laukia ne tik teorija, bet ir realistiškos patirtys: specialiai sukurtose erdvėse galėsite išbandyti žemės drebėjimo ir lėktuvo avarinio nusileidimo simuliacijas, gesinti gaisrą, evakuotis iš dūmais užpildytų patalpų ir dar daugiau. Edukaciniai užsiėmimai vyksta per įtraukiančius žaidimus, simuliacijas ir modernias technologijas – virtualią bei projekcinę realybę, robotizuotas instaliacijas ir fizinius efektus, kurie leidžia saugiai patirti pavojingas situacijas. Kviečiame apsilankyti „Danger Park” jau dabar! Vaikams iki 3 metų – nemokamai. Apsilankymo kaina -  15 Eur. Galima papildomai įsigyti: kūrybinės dirbtuvės (slime gamybą, puodelių dekoravimą, atšvaito gamybą) - 6 Eur Grupėms taikomos nuolaidos. Būtina išankstinė registracija. Kviečiame švęsti gimtadienius, išleistuves ir kitas progas. Dėmesio! Vaikai iki 14 metų turi būti su suaugusiojo palyda."
DOWNTOWN PIANO LAB,LAISVALAIKIS IR PRAMOGOS,"Downtown Piano Lab – tai pirmasis Lietuvoje boutique muzikos klubas ir multifunkcinė kūrybos erdvė. Čia organizuojami gyvos muzikos koncertai, privatūs bei įmonių renginiai, kūrybinės veiklos vaikams, fortepijono ir vokalo pamokos. Erdvė išsiskiria aukščiausios klasės „Meyer Sound“ garso sistema, koncertiniu fortepijonu bei moderniais vizualiniais sprendimais, kurie leidžia sukurti išskirtinę atmosferą kiekvienam renginiui. Downtown Piano Lab klientams siūlo ne tik erdvės nuomą, bet ir pilną renginių įgyvendinimą – nuo atlikėjų ir techninio aptarnavimo iki scenografijos bei transliacijų sprendimų."
FORTAS,KAVINĖS/RESTORANAI,"Jau daugiau nei 25 metus FORTAS kviečia atrasti tai, kas tikra – nuo pasaulyje pamėgtų patiekalų iki skonių, įkvėptų skirtingų šalių virtuvių. Čia kiekvienas patiekalas gaminamas tik po užsakymo, naudojant šviežias ir kruopščiai atrinktas žaliavas. FORTAS vertina natūralų skonį, jaukią atmosferą ir kokybę, dėl kurios svečiai sugrįžta vėl ir vėl. „FORTAS – už tai, kas tikra!“"
GERA DOVANA,PASLAUGOS,"„Gera dovana“ – gerų emocijų parduotuvė. Poilsis su nakvyne, skrydžiai, aktyvios pramogos, greitis ir adrenalinas, ypatingos vakarienės, masažai ir SPA centrų paslaugos bei daugybė kitų originalių dovanų sau ar artimiesiems vos per 1 minutę! PC Europa veikia savitarnos parduotuvė, kurioje greitai ir patogiai įsigysite dovanas, pasirinktas iš ekspozicijos. Atsiskaitymas - mokėjimo kortele. Kaip įsigyti? 1. Skenuokite pasirinktą/-as kortelę/-es. 2. Spauskite ""Mokėti"" 3. Priglauskite kortelę prie mokėjimo terminalo, jei reikia, suveskite PIN kodą."
GYM+,SPORTAS IR SVEIKATINGUMAS,"Gym+, didžiausias sporto klubų tinklas Lietuvoje, siekiantis skatinti aktyvų ir sveiką gyvenimo būdą bei šviesti įvairaus amžiaus žmones apie judėjimo naudą. Europos Gym+ 24/7 tavęs laukia erdvi sporto erdvė, Booty ir Hyrox treniruočių zonos, Reformer+ ir grupinių treniruočių salė, Recovery+ zona, soliarumai ir pirtys."
HURACAN,KAVINĖS/RESTORANAI,"Huracán Coffee yra specialty kavos importuotojai, skrudintojai ir populiarus kavinių tinklas Vilniuje. Huracán Coffee, su misija auginti kavos kultūrą Lietuvoje prisiėmė ir
iššūkį nuolat pasiūlyti kažką dar nematyto geros kavos mėgėjams - kažką
ne akivaizdaus, ne banalaus, o progresyvaus.
Tarptautiniame Global Coffee Awards konkurse buvo išrinkti geriausi pasaulio skrudintojai 2025 metais."
